,val_roc
0,0.8264586168747116
0,0.5446877018170214
0,0.7422785114354522
0,0.39486322169501564
0,0.43886160377657557
0,0.7944326057652172
0,0.8098973686873758
0,0.850856218142837
0,0.5527411170003861
0,0.8585974697708028
0,0.7445697335713566
0,0.5102278827113914
0,0.8322300614233358
0,0.4423811533591173
0,0.842717549878855
0,0.46125657005800397
0,0.6764029818616196
0,0.84279928805222
0,0.546131963943153
0,0.7939657862907209
0,0.7976778931035795
0,0.798209075172194
0,0.840439989457931
0,0.8067765289614433
0,0.8065143036166273
