,val_roc
0,0.9510699650017612
0,0.8725674247329382
0,0.8912602747633939
0,0.9209286027015238
0,0.9290966745796918
0,0.9530719292763872
0,0.6818540866634074
0,0.937929898964273
0,0.6776900559081136
0,0.9416409559770041
0,0.9519434237394085
0,0.9341478305104145
0,0.9427852893653186
0,0.9635681362432624
0,0.9477680680776823
0,0.9524716642060324
0,0.8773195175778983
0,0.7160567900604156
0,0.9379031064420976
0,0.6973991755738294
0,0.9403428019907878
0,0.943939551747145
0,0.929487777859281
0,0.9519137043030457
0,0.9386366136521455
0,0.9271465617156293
0,0.6679167517160386
0,0.9559248150494182
0,0.9624878122167506
